,iid,age,gender,field_cd,race,goal,match,satis_2,length,numdat_2
0,1,21.0,Female,1.0,4.0,2.0,No,6.0,2.0,1.0
1,1,21.0,Female,1.0,4.0,2.0,No,6.0,2.0,1.0
2,1,21.0,Female,1.0,4.0,2.0,Yes,6.0,2.0,1.0
3,1,21.0,Female,1.0,4.0,2.0,Yes,6.0,2.0,1.0
4,1,21.0,Female,1.0,4.0,2.0,Yes,6.0,2.0,1.0
5,1,21.0,Female,1.0,4.0,2.0,No,6.0,2.0,1.0
6,1,21.0,Female,1.0,4.0,2.0,No,6.0,2.0,1.0
7,1,21.0,Female,1.0,4.0,2.0,No,6.0,2.0,1.0
8,1,21.0,Female,1.0,4.0,2.0,Yes,6.0,2.0,1.0
9,1,21.0,Female,1.0,4.0,2.0,No,6.0,2.0,1.0
10,2,24.0,Female,1.0,2.0,1.0,No,5.0,2.0,
11,2,24.0,Female,1.0,2.0,1.0,No,5.0,2.0,
12,2,24.0,Female,1.0,2.0,1.0,No,5.0,2.0,
13,2,24.0,Female,1.0,2.0,1.0,Yes,5.0,2.0,
14,2,24.0,Female,1.0,2.0,1.0,No,5.0,2.0,
15,2,24.0,Female,1.0,2.0,1.0,No,5.0,2.0,
16,2,24.0,Female,1.0,2.0,1.0,No,5.0,2.0,
17,2,24.0,Female,1.0,2.0,1.0,No,5.0,2.0,
18,2,24.0,Female,1.0,2.0,1.0,Yes,5.0,2.0,
19,2,24.0,Female,1.0,2.0,1.0,No,5.0,2.0,
20,3,25.0,Female,2.0,2.0,6.0,No,,,
21,3,25.0,Female,2.0,2.0,6.0,No,,,
22,3,25.0,Female,2.0,2.0,6.0,No,,,
23,3,25.0,Female,2.0,2.0,6.0,No,,,
24,3,25.0,Female,2.0,2.0,6.0,No,,,
25,3,25.0,Female,2.0,2.0,6.0,No,,,
26,3,25.0,Female,2.0,2.0,6.0,No,,,
27,3,25.0,Female,2.0,2.0,6.0,No,,,
28,3,25.0,Female,2.0,2.0,6.0,No,,,
29,3,25.0,Female,2.0,2.0,6.0,No,,,
30,4,23.0,Female,1.0,2.0,1.0,No,4.0,3.0,2.0
31,4,23.0,Female,1.0,2.0,1.0,No,4.0,3.0,2.0
