,iid,age,gender,field_of_study,ethnic_group,goal,match,satis_2,length,speed_date_nb
0,1,21.0,Female,Law,Asian,Meet new people,No,Satisfied,Too much,Too few
1,2,24.0,Female,Law,Caucasian,For fun,No,Neutral,Too much,Unknown
2,3,25.0,Female,Math,Caucasian,Other,No,Unknown,Unknown,Unknown
3,4,23.0,Female,Law,Caucasian,For fun,No,Not satisfied,Just right,Too many
4,5,21.0,Female,Law,Caucasian,Meet new people,No,Satisfied,Too much,Too many
5,6,23.0,Female,Law,Asian,For fun,No,Not satisfied,Just right,Too many
6,7,22.0,Female,Law,Asian,For fun,No,Unknown,Unknown,Unknown
7,8,25.0,Female,Political Science / International Affairs,Caucasian,For fun,No,Unknown,Unknown,Unknown
8,9,26.0,Female,Political Science / International Affairs,Other,For fun,No,Satisfied,Too much,Too few
9,10,26.0,Female,Political Science / International Affairs,Caucasian,Meet new people,No,Not satisfied at all,Too much,Too many
10,11,27.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too much,Unknown
11,12,22.0,Male,Law,Caucasian,For fun,No,Unknown,Unknown,Unknown
12,13,22.0,Male,Law,Asian,Meet new people,Yes,Very satisfied,Just right,Too few
13,14,23.0,Male,Law,Caucasian,Meet new people,Yes,Satisfied,Just right,Unknown
14,15,24.0,Male,Law,Hispanic,For fun,Yes,Very satisfied,Too much,Too few
15,16,25.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too much,Too few
16,17,30.0,Male,Political Science / International Affairs,Caucasian,Get a date,No,Neutral,Just right,Too many
17,18,27.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Too much,Too few
18,19,28.0,Male,Business / Econ / Finance,Caucasian,Serious relationship,Yes,Unknown,Unknown,Unknown
19,20,24.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Unknown,Unknown,Unknown
20,21,21.0,Female,Engineering,Asian,Other,No,Satisfied,Just right,Just right
21,22,27.0,Female,"Education, Academia",African American,For fun,No,Satisfied,Just right,Just right
22,23,21.0,Female,"Social Science, Psychologist",Asian,For fun,No,Satisfied,Too much,Too many
23,24,27.0,Female,Social Work,Caucasian,Meet new people,No,Not satisfied,Just right,Too many
24,25,25.0,Female,Social Work,Caucasian,For fun,No,Not satisfied,Too little,Too many
25,26,23.0,Female,Social Work,Caucasian,For fun,No,Unknown,Unknown,Unknown
26,27,22.0,Female,"Social Science, Psychologist",Hispanic,For fun,No,Not satisfied,Too little,Too many
27,28,26.0,Female,"Social Science, Psychologist",Caucasian,Other,No,Unknown,Unknown,Unknown
28,29,22.0,Female,Social Work,Caucasian,For fun,No,Satisfied,Just right,Too many
29,30,23.0,Female,Law,Caucasian,For fun,No,Not satisfied,Too little,Just right
30,31,24.0,Female,Law,Caucasian,For fun,No,Not satisfied,Too little,Too few
31,32,27.0,Female,"Social Science, Psychologist",Asian,For fun,No,Neutral,Just right,Too many
32,33,30.0,Female,"Social Science, Psychologist",Caucasian,Other,No,Neutral,Just right,Too many
33,34,21.0,Female,Business / Econ / Finance,Asian,For fun,No,Satisfied,Too little,Too many
34,35,25.0,Female,Math,Caucasian,For fun,No,Satisfied,Too little,Too many
35,36,26.0,Female,Math,Caucasian,Meet new people,No,Not satisfied,Too little,Just right
36,37,27.0,Female,"Social Science, Psychologist",Caucasian,Meet new people,No,Satisfied,Too little,Too many
37,38,23.0,Female,Law,African American,For fun,No,Not satisfied at all,Too little,Too many
38,39,24.0,Female,Law,Hispanic,To say I did it,No,Not satisfied,Too little,Too many
39,40,25.0,Male,Other,Asian,Meet new people,No,Not satisfied at all,Too little,Too many
40,41,30.0,Male,Law,Asian,Meet new people,No,Neutral,Just right,Just right
41,42,23.0,Male,Engineering,Asian,Meet new people,No,Very satisfied,Just right,Just right
42,43,24.0,Male,Business / Econ / Finance,Caucasian,Other,No,Neutral,Too little,Too many
43,44,24.0,Male,"Social Science, Psychologist",Caucasian,For fun,No,Satisfied,Too little,Too many
44,45,28.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Satisfied,Just right,Just right
45,46,26.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Very satisfied,Just right,Too many
46,47,30.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Just right,Too many
47,48,22.0,Male,Undergrad / undecided,Caucasian,For fun,No,Satisfied,Just right,Too many
48,49,25.0,Male,Business / Econ / Finance,Asian,For fun,No,Satisfied,Just right,Just right
49,50,27.0,Male,Law,African American,Other,No,Satisfied,Too little,Too many
50,51,23.0,Male,Law,Caucasian,For fun,No,Neutral,Too little,Too many
51,52,21.0,Male,Law,Caucasian,For fun,No,Not satisfied,Too little,Too many
52,53,28.0,Male,"Medical Science, Pharmaceuticals and Bio Tech",Caucasian,Meet new people,No,Very satisfied,Just right,Just right
53,54,28.0,Male,Business / Econ / Finance,Caucasian,To say I did it,No,Satisfied,Just right,Too many
54,55,23.0,Male,Law,African American,Other,No,Very satisfied,Too little,Just right
55,56,23.0,Female,Social Work,Caucasian,For fun,No,Not satisfied at all,Just right,Just right
